8,15,1,-1,-1,-1,-1,-1,-1
8,15,-1,-1,-1,-1,-1,-1,-1
14,3,-1,-1,-1,-1,-1,-1,-1
8,15,5,9,-1,-1,-1,-1,-1
8,15,5,14,10,9,-1,-1,-1
8,7,15,5,-1,-1,-1,-1,-1
8,2,5,-1,-1,-1,-1,-1,-1
15,0,5,-1,-1,-1,-1,-1,-1
5,13,2,8,-1,-1,-1,-1,-1
8,15,-1,-1,-1,-1,-1,-1,-1
15,5,-1,-1,-1,-1,-1,-1,-1
8,15,5,-1,-1,-1,-1,-1,-1
8,10,9,-1,-1,-1,-1,-1,-1
8,5,-1,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1
8,15,5,14,-1,-1,-1,-1,-1
8,2,8,-1,-1,-1,-1,-1,-1
8,15,-1,-1,-1,-1,-1,-1,-1
15,5,8,-1,-1,-1,-1,-1,-1
5,9,-1,-1,-1,-1,-1,-1,-1
8,9,-1,-1,-1,-1,-1,-1,-1
5,8,-1,-1,-1,-1,-1,-1,-1
8,15,-1,-1,-1,-1,-1,-1,-1
8,15,9,-1,-1,-1,-1,-1,-1
8,15,5,9,-1,-1,-1,-1,-1
15,14,-1,-1,-1,-1,-1,-1,-1
15,8,-1,-1,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1
8,9,0,-1,-1,-1,-1,-1,-1
15,2,5,14,-1,-1,-1,-1,-1
9,15,8,5,14,-1,-1,-1,-1
15,5,10,9,-1,-1,-1,-1,-1
8,15,5,-1,-1,-1,-1,-1,-1
15,0,-1,-1,-1,-1,-1,-1,-1
8,0,10,9,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1
15,9,-1,-1,-1,-1,-1,-1,-1
8,15,6,5,9,-1,-1,-1,-1
8,15,5,-1,-1,-1,-1,-1,-1
15,9,15,5,-1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1
8,15,11,-1,-1,-1,-1,-1,-1
8,15,5,2,-1,-1,-1,-1,-1
15,8,2,5,14,-1,-1,-1,-1
15,14,10,9,-1,-1,-1,-1,-1
8,15,9,-1,-1,-1,-1,-1,-1
8,15,0,9,-1,-1,-1,-1,-1
15,5,14,-1,-1,-1,-1,-1,-1
15,2,9,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1
8,15,12,5,10,9,5,-1,-1
8,15,5,-1,-1,-1,-1,-1,-1
8,15,5,-1,-1,-1,-1,-1,-1
8,15,5,-1,-1,-1,-1,-1,-1
8,15,0,-1,-1,-1,-1,-1,-1
9,-1,-1,-1,-1,-1,-1,-1,-1
15,10,-1,-1,-1,-1,-1,-1,-1
8,15,5,-1,-1,-1,-1,-1,-1
8,4,15,5,9,-1,-1,-1,-1
8,15,2,5,1,-1,-1,-1,-1
15,-1,-1,-1,-1,-1,-1,-1,-1
8,15,0,9,-1,-1,-1,-1,-1
