4,6,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1
6,1,4,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
2,6,1,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1
4,1,5,2,3,7,6,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1
4,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
1,5,3,7,8,6,2,-1,-1,-1,-1,-1,-1,-1
1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,5,1,7,2,3,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
1,5,6,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
4,6,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,5,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1,5,2,3,7,0,-1,-1,-1,-1,-1,-1,-1
6,1,5,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2,3,7,6,1,5,-1,-1,-1,-1,-1,-1,-1
4,6,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,2,3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,5,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,3,7,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,5,2,3,7,1,-1,-1,-1,-1,-1,-1,-1
8,4,6,1,5,2,3,-1,-1,-1,-1,-1,-1,-1
4,5,2,3,7,6,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
6,1,5,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,6,5,6,1,5,2,7,4,1,5,6,-1,-1
3,6,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
4,6,5,7,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,7,3,-1,-1,-1,-1,-1,-1,-1
4,6,5,1,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
4,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
4,5,6,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,7,-1,-1,-1,-1,-1,-1,-1,-1
4,6,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
4,5,2,3,7,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,6,-1,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,6,1,5,2,3,7,-1,-1,-1,-1,-1,-1,-1
