14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,21,34,19,15,28,32,29,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,9,2,35,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,1,22,12,24,7,26,27,11,13,30,4,5,34,21,19,32,17,28,15,29,14,0,35,33,20,31,16,23,33,20,31,16,0,9,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,9,2,35,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,27,26,11,4,13,30,5,34,21,32,19,15,28,17,29,36,15,19,28,32,17,29,14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,32,17,15,28,29,14,0,9,2,35,8,10,6,24,12,7,27,26,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,32,28,17,29,14,0,9,2,35,33,20,31,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,32,28,29,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,32,28,17,29,14,9,0,2,35,33,20,31,16,23,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,32,28,17,29,14,0,9,2,35,16,23,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,15,19,28,32,29,17,14,0,9,2,35,33,20,31,16,23,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
