23,24,12,7,26,27,11,33,20,31,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,18,22,24,7,27,12,26,11,4,13,30,21,5,34,19,15,28,29,32,17,8,10,6,19,32,17,15,28,29,24,7,27,12,26,11,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,27,26,11,4,13,30,5,34,21,19,15,28,32,17,29,14,0,9,2,35,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,1,22,24,7,27,12,26,11,4,13,30,34,21,5,19,32,17,15,28,29,14,35,33,20,31,16,23,8,33,20,31,23,16,33,20,31,0,9,2,33,20,31,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,15,19,28,29,32,17,14,0,9,2,35,23,8,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,32,28,17,29,14,0,9,2,35,33,20,31,16,23,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,28,32,17,29,14,0,9,2,35,33,20,31,16,23,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,0,9,2,35,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,32,17,15,28,29,8,36,10,6,19,32,17,15,28,29,14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,28,32,17,29,14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,10,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,7,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,15,19,28,32,29,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,7,27,12,26,11,4,13,30,5,34,21,15,19,32,28,29,17,8,15,28,29,19,32,17,14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,32,17,28,29,36,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,15,19,28,32,29,17,14,0,9,2,35,16,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,12,24,7,26,27,11,4,13,30,5,34,21,19,15,32,28,17,29,14,0,9,2,35,33,20,31,16,23,16,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,7,27,12,26,11,4,13,30,5,34,21,15,28,29,19,32,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,32,28,17,29,14,0,9,2,35,33,20,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,32,28,17,29,14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,28,29,32,17,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,12,26,11,24,7,27,4,13,30,34,21,5,19,32,17,15,28,29,14,0,9,2,35,16,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,15,19,28,32,29,17,24,12,7,26,27,11,14,0,9,2,35,33,20,31,16,33,20,31,23,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,28,32,29,17,14,0,9,2,35,33,20,31,16,23,33,20,31,23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,22,1,24,12,7,26,27,11,4,13,30,5,34,21,15,19,28,32,29,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,19,15,28,32,29,17,14,0,9,2,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,1,24,12,7,26,27,11,4,13,30,5,34,21,15,19,28,32,29,17,8,15,19,28,32,29,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
