7,-1,-1,-1,-1,-1
6,0,-1,-1,-1,-1
6,7,-1,-1,-1,-1
7,6,-1,-1,-1,-1
0,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1
1,4,6,-1,-1,-1
0,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
6,7,-1,-1,-1,-1
6,7,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1
0,7,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1
6,0,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1
5,6,7,-1,-1,-1
0,7,6,-1,-1,-1
6,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
6,0,-1,-1,-1,-1
7,6,-1,-1,-1,-1
6,4,7,6,-1,-1
6,0,7,-1,-1,-1
6,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1
6,0,-1,-1,-1,-1
7,0,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
6,0,7,-1,-1,-1
0,7,-1,-1,-1,-1
6,2,-1,-1,-1,-1
6,7,-1,-1,-1,-1
0,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
7,-1,-1,-1,-1,-1
6,-1,-1,-1,-1,-1
6,0,7,-1,-1,-1
0,-1,-1,-1,-1,-1
6,7,-1,-1,-1,-1
6,0,7,-1,-1,-1
6,7,-1,-1,-1,-1
0,7,-1,-1,-1,-1
0,-1,-1,-1,-1,-1
6,3,0,-1,-1,-1
0,-1,-1,-1,-1,-1
6,7,-1,-1,-1,-1
6,0,-1,-1,-1,-1
6,7,-1,-1,-1,-1
