1,8,16,18,4,7,0,17,11,14,20,12,-1,-1,-1,-1,-1,-1,-1
1,18,4,7,0,17,16,6,8,14,10,20,-1,-1,-1,-1,-1,-1,-1
1,18,4,11,7,0,14,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,4,18,16,17,11,14,10,20,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,16,4,18,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1
1,16,4,18,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
8,16,4,18,7,0,17,11,14,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,16,18,4,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,0,17,11,10,20,23,5,9,14,-1,-1,-1,-1,-1,-1,-1
1,4,18,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,8,16,4,18,0,11,17,20,14,10,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,4,18,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1
1,8,16,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,4,18,7,0,17,14,10,20,8,-1,-1,-1,-1,-1,-1,-1,-1
8,16,4,18,0,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,16,18,4,7,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
8,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,18,4,17,11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,4,18,7,0,17,11,14,10,20,19,12,2,21,22,15,-1,-1
1,8,16,18,4,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
6,8,16,14,10,20,7,0,17,11,1,-1,-1,-1,-1,-1,-1,-1,-1
8,16,7,0,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,8,16,18,4,7,0,17,11,4,18,14,10,20,-1,-1,-1,-1,-1
1,6,16,18,4,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1
6,8,16,14,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,18,4,0,17,11,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,16,11,1,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,16,18,4,0,17,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,16,18,4,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
1,14,10,20,6,8,18,7,0,17,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,6,8,18,4,7,0,11,14,10,20,17,-1,-1,-1,-1,-1,-1,-1
2,21,3,13,6,1,20,9,16,18,4,7,0,11,14,10,-1,-1,-1
1,6,8,16,4,18,11,14,10,20,0,-1,-1,-1,-1,-1,-1,-1,-1
1,8,16,18,4,7,0,11,14,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,16,4,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,4,18,7,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1
8,16,4,18,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
1,16,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,16,0,17,11,4,18,7,14,10,20,-1,-1,-1,-1,-1,-1,-1
1,0,17,11,14,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,4,18,7,11,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,18,4,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1
1,8,16,18,4,0,11,14,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,4,18,11,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,4,18,7,0,17,14,10,20,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,18,4,0,11,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,16,18,4,0,17,11,14,20,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,16,18,7,0,11,17,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
1,6,16,18,4,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1
1,16,18,4,7,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,16,7,11,14,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,16,18,4,7,0,17,11,14,20,-1,-1,-1,-1,-1,-1,-1,-1
16,7,0,17,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,4,7,0,11,14,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,4,18,10,11,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,4,0,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,22,7,0,17,11,18,4,14,10,20,-1,-1,-1,-1,-1
1,6,8,16,18,4,7,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1
1,6,16,7,0,17,11,14,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,0,14,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,8,16,4,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,16,4,18,7,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
16,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,6,8,18,4,20,7,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,16,18,4,7,0,17,11,14,10,20,-1,-1,-1,-1,-1,-1,-1,-1
