3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,5,0,4,1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,5,0,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,3,5,0,4,1,2,3,0,5,-1,-1
4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,3,0,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,1,2,4,3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,3,0,5,4,2,1,3,5,0,4,1,2,3,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,5,0,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1
4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,0,3,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,0,5,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,0,5,3,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1
4,1,2,3,0,5,3,0,5,4,1,2,3,0,5,4,1,2,3,0,5,4,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,5,4,1,2,3,0,5,4,2,1,3,0,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
