5,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,6,4,1,3,2,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1
3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,6,4,3,1,2,-1,-1,-1,-1,-1,-1
5,0,5,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1
6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,3,1,2,3,1,2,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1
3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,6,4,5,0,6,4,3,1,2,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,4,6,5,0,6,4,5,0,-1,-1,-1
6,4,5,0,6,4,3,1,2,-1,-1,-1,-1,-1,-1
6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,2,1,3,-1,-1,-1,-1,-1,-1,-1,-1
6,4,5,0,6,4,5,3,1,2,-1,-1,-1,-1,-1
6,4,5,0,6,4,6,4,3,1,2,-1,-1,-1,-1
6,4,5,0,3,1,2,-1,-1,-1,-1,-1,-1,-1,-1
