1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,9,0,-1,-1,-1,-1,-1,-1,-1,-1
3,0,3,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,9,0,-1,-1,-1,-1,-1,-1,-1,-1
9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,3,1,-1,-1,-1,-1,-1,-1,-1
9,0,3,1,3,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,9,3,9,3,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,3,-1,-1,-1,-1,-1,-1,-1,-1
1,0,9,3,6,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,5,2,8,7,9,0,3,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,9,1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3,9,1,-1,-1,-1,-1,-1,-1,-1
1,0,9,3,-1,-1,-1,-1,-1,-1,-1
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1,3,-1,-1,-1,-1,-1,-1,-1,-1
1,0,3,-1,-1,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,0,3,1,-1,-1,-1,-1,-1,-1,-1
0,1,3,-1,-1,-1,-1,-1,-1,-1,-1
0,3,9,-1,-1,-1,-1,-1,-1,-1,-1
0,1,9,3,-1,-1,-1,-1,-1,-1,-1
9,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,3,0,1,4,6,10,5,11,-1,-1
9,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,3,9,1,-1,-1,-1,-1,-1,-1,-1
9,3,0,3,-1,-1,-1,-1,-1,-1,-1
0,3,9,-1,-1,-1,-1,-1,-1,-1,-1
0,1,3,-1,-1,-1,-1,-1,-1,-1,-1
