6,23,9,12,22,16,2,17,18,5,27,4,26,25,13,-1,-1,-1,-1,-1,-1,-1
19,17,16,18,5,27,6,23,9,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,18,27,5,4,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,16,27,4,26,3,25,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,23,9,12,9,17,16,2,18,5,27,4,26,3,25,5,-1,-1,-1,-1,-1,-1
19,22,16,2,16,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,12,9,22,17,2,18,5,4,26,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,23,9,16,2,17,18,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,12,9,4,3,25,24,10,0,20,5,27,26,16,17,2,-1,-1,-1,-1
19,9,22,16,2,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,22,9,12,16,17,2,5,4,25,26,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,9,12,2,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1
19,23,9,12,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,17,16,5,27,4,26,3,25,23,12,9,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,16,18,5,17,2,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,12,9,16,2,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1
23,12,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,12,16,2,17,27,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,6,12,23,9,16,2,17,18,5,27,4,26,3,25,14,13,11,1,7,-1,-1
23,12,9,16,5,27,17,16,2,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,23,9,12,26,3,25,18,5,27,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,23,9,12,22,18,5,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,23,9,12,16,17,2,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1
19,6,9,2,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,12,9,23,26,12,9,23,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,23,9,16,2,17,27,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,23,12,9,4,19,5,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,5,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,2,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,26,3,25,6,23,12,9,2,17,18,5,27,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,23,9,6,16,17,2,18,5,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,11,1,8,15,28,6,19,25,20,22,16,2,17,18,5,27,4,26,3,-1,-1
19,6,23,12,4,26,3,25,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,12,9,16,17,2,18,5,27,4,26,3,-1,-1,-1,-1,-1,-1,-1,-1
23,12,9,16,17,2,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,9,12,22,17,2,18,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1
19,17,2,16,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,16,2,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,5,4,26,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,12,23,9,22,16,2,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1
19,23,9,12,17,16,2,5,4,26,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,12,22,2,17,4,3,2,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,12,16,2,17,18,5,27,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,9,12,17,2,16,4,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,23,9,16,2,17,5,27,4,26,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,9,17,18,5,4,27,26,3,25,19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,22,18,5,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,23,9,12,16,2,17,18,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,23,18,16,2,17,4,26,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,12,9,22,16,2,17,18,5,27,4,26,25,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,12,22,18,5,27,4,2,17,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,9,12,2,17,5,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,9,16,17,2,5,4,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,12,23,9,22,16,2,17,18,5,4,26,3,25,-1,-1,-1,-1,-1,-1,-1
19,6,12,23,9,22,7,18,5,27,4,16,2,17,26,3,25,-1,-1,-1,-1,-1
19,6,23,9,12,22,16,2,17,18,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1
19,6,22,18,5,27,4,26,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,27,26,5,3,25,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,9,12,16,2,17,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1
19,6,12,23,9,16,2,17,18,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,18,5,27,4,9,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,6,23,9,12,16,17,2,25,18,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,16,22,17,2,18,5,27,4,26,3,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
