2,1,15,11,14,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1
2,10,5,1,15,11,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,16,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,5,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,15,2,11,14,5,15,10,4,16,-1,-1,-1,-1,-1,-1,-1
2,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,11,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,15,2,11,14,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,4,16,6,13,8,0,12,3,2,10,-1,-1
2,14,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,5,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1
2,14,11,5,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
11,14,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,5,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,15,14,11,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,14,11,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,15,11,14,5,10,16,4,2,-1,-1,-1,-1,-1,-1,-1,-1
2,5,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,14,11,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1
1,15,14,11,5,14,11,2,15,1,5,-1,-1,-1,-1,-1,-1
15,1,15,11,14,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,15,14,11,5,4,16,2,10,-1,-1,-1,-1,-1,-1,-1,-1
1,15,1,5,2,7,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,15,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,11,14,1,15,5,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1
1,15,2,12,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,5,4,16,5,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,14,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,5,11,10,4,16,-1,-1,-1,-1,-1,-1,-1
2,1,15,11,14,10,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,5,11,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,16,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,15,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,15,14,11,5,10,4,16,-1,-1,-1,-1,-1,-1,-1,-1
