11,2,8,1,7,-1,-1,-1
11,1,8,2,-1,-1,-1,-1
11,1,-1,-1,-1,-1,-1,-1
11,1,8,-1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
11,8,1,-1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
11,2,6,9,3,-1,-1,-1
11,1,-1,-1,-1,-1,-1,-1
11,8,2,1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,8,-1,-1,-1,-1,-1
11,1,2,-1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
11,8,1,-1,-1,-1,-1,-1
2,11,8,-1,-1,-1,-1,-1
11,8,-1,-1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
2,1,4,7,5,10,-1,-1
11,2,8,1,-1,-1,-1,-1
8,11,-1,-1,-1,-1,-1,-1
2,8,-1,-1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,8,1,-1,-1,-1,-1,-1
2,8,-1,-1,-1,-1,-1,-1
2,1,-1,-1,-1,-1,-1,-1
2,8,11,-1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
1,-1,-1,-1,-1,-1,-1,-1
11,2,1,-1,-1,-1,-1,-1
8,2,1,-1,-1,-1,-1,-1
5,0,11,3,8,1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
11,8,-1,-1,-1,-1,-1,-1
11,8,1,-1,-1,-1,-1,-1
11,-1,-1,-1,-1,-1,-1,-1
2,1,-1,-1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,1,-1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
11,8,-1,-1,-1,-1,-1,-1
11,8,-1,-1,-1,-1,-1,-1
11,8,1,-1,-1,-1,-1,-1
2,8,-1,-1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,2,8,10,1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
11,8,-1,-1,-1,-1,-1,-1
11,1,8,-1,-1,-1,-1,-1
11,2,8,1,-1,-1,-1,-1
2,8,1,-1,-1,-1,-1,-1
8,-1,-1,-1,-1,-1,-1,-1
11,2,1,-1,-1,-1,-1,-1
11,8,1,-1,-1,-1,-1,-1
