31,24,21,27,6,22,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,6,21,31,24,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,25,27,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,13,29,14,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,6,13,30,7,26,23,22,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,6,30,22,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,27,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,6,1,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,23,6,22,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,5,12,6,1,9,23,28,2,19,8,-1,-1,-1,-1,-1,-1,-1
27,25,23,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,25,20,6,1,4,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,25,27,22,13,18,0,30,28,23,9,1,6,4,5,10,-1,-1
13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,13,18,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,6,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,6,13,23,30,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,13,30,21,31,25,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,31,24,21,27,22,13,30,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,31,10,30,27,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,23,9,1,6,5,4,22,13,18,30,-1,-1,-1,-1,-1,-1,-1
25,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,31,24,27,23,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,22,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,31,24,27,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,11,17,13,23,9,18,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,24,31,23,6,1,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,31,24,21,27,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,27,6,22,13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
31,24,25,11,27,6,22,13,30,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,6,22,13,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
