skill	posttest variance	total matches	squared error	mean error	total ignoring zero-tutor-problem students	squared error	mean_error
center	0.0908422600294	217	0.281105990783	0.0138248847926	77	0.334415584416	-0.24025974026
shape	0.13463558076	234	0.385683760684	0.292735042735	19	0.539473684211	0.342105263158
spread	0.0949380382273	302	0.509933774834	-0.417218543046	9	0.111111111111	-0.111111111111
x_axis	0.131169922285	274	0.371350364964	-0.0346715328467	85	0.258823529412	-0.0470588235294
y_axis	0.156059651334	310	0.497580645161	-0.259677419355	42	0.571428571429	-0.047619047619
histogram	0.0473639991598	252	0.797619047619	0.789682539683	53	0.830188679245	0.830188679245
d_to_h	0.202058391094	236	0.491525423729	-0.161016949153	28	0.571428571429	-0.285714285714
h_to_d	0.137366099559	315	0.338095238095	0.196825396825	12	0.5	0.333333333333
